date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:17	31402/31402	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20May%202015%2002:17:02%20GMT	https://demoxml.com/html/hotelbooking/img/room-image-thirteen.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/room-image-thirteen.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:17	60738/60738	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2003:59:52%20GMT	https://demoxml.com/html/hotelbooking/img/room-image-nine.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/room-image-nine.png	(from https://demoxml.com/html/hotelbooking/)
16:09:17	90913/90913	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2003:51:04%20GMT	https://demoxml.com/html/hotelbooking/img/room-image-eight.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/room-image-eight.png	(from https://demoxml.com/html/hotelbooking/)
16:09:17	1548/1548	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2006:11:54%20GMT	https://demoxml.com/html/hotelbooking/img/home-facilities-icon-eleven.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/home-facilities-icon-eleven.png	(from https://demoxml.com/html/hotelbooking/)
16:09:17	1462/1462	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2005:52:06%20GMT	https://demoxml.com/html/hotelbooking/img/home-facilities-icon-seven.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/home-facilities-icon-seven.png	(from https://demoxml.com/html/hotelbooking/)
16:09:17	1506/1506	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2005:57:32%20GMT	https://demoxml.com/html/hotelbooking/img/home-facilities-icon-eight.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/home-facilities-icon-eight.png	(from https://demoxml.com/html/hotelbooking/)
16:09:18	1588/1588	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2005:53:12%20GMT	https://demoxml.com/html/hotelbooking/img/home-facilities-icon-nine.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/home-facilities-icon-nine.png	(from https://demoxml.com/html/hotelbooking/)
16:09:18	1681/1681	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Apr%202015%2005:52:34%20GMT	https://demoxml.com/html/hotelbooking/img/home-facilities-icon-ten.png	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/home-facilities-icon-ten.png	(from https://demoxml.com/html/hotelbooking/)
16:09:18	105895/105895	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Apr%202015%2004:24:56%20GMT	https://demoxml.com/html/hotelbooking/img/hotel-facility-one.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/hotel-facility-one.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:19	54053/54053	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Apr%202015%2015:23:22%20GMT	https://demoxml.com/html/hotelbooking/img/hotel-facility-three.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/hotel-facility-three.jpg	(from https://demoxml.com/html/hotelbooking/)
16:09:19	5241/5241	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Apr%202015%2017:07:26%20GMT	https://demoxml.com/html/hotelbooking/img/news-one.jpg	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/news-one.jpg	(from https://demoxml.com/html/hotelbooking/)
